test_id,repeat_idx,mode,scenario,P_off,P_res_s,P_res_b,p_0_s,p_0_b,offchain_time,total_gas,match_time,match_success,failure_reason,P_on,PDR,buyer_addr,seller_addr,SDF,ECE
S1,0,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",94.92,57.40953343960655,153.36835243862328,83.21364057337755,57.249047251401656,0.0,681031,0.0955,1,No matching event found,90.01,0.05176503067393812,buyer_S1_0,seller_S1_0,0.8397339285795868,-0.5235097921499245
S1,1,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",95.88,104.79705259590726,147.77691870144739,151.55181785468974,73.86702945984877,0.0,681562,0.1035,1,No matching event found,111.0194,0.15791928012889428,buyer_S1_1,seller_S1_1,0.6447735409136298,0.0
S1,2,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",91.43,75.47014390763972,104.69387108092245,105.7464225819564,57.22973308712248,0.0,681015,0.1038,1,No matching event found,91.1998,0.0024991619745225813,buyer_S1_2,seller_S1_2,0.9617505152887947,0.0
S1,3,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",96.34,103.07237469245527,105.89519038020691,132.91151221625768,49.279766752537796,0.0,681562,0.1341,1,No matching event found,104.8283,0.08815400405895696,buyer_S1_3,seller_S1_3,0.8779525474639424,0.0
S1,4,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",92.28,72.28742276787462,149.9997848533502,119.64909535285338,76.92937556917686,0.0,681015,0.1028,1,No matching event found,97.2899,0.05426481416397717,buyer_S1_4,seller_S1_4,0.8217310162908861,0.0
S1,5,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",87.11,90.45614091156102,108.62539672647178,123.6192959560326,85.95235127381684,0.0,681562,0.1194,1,No matching event found,96.0829,0.10295051403600794,buyer_S1_5,seller_S1_5,0.809685721075121,0.0
S1,6,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",93.2,102.03012648768046,106.87357185455488,127.39003154969532,41.847645743195216,0.0,681562,0.1025,1,No matching event found,103.4915,0.11046238211638476,buyer_S1_6,seller_S1_6,0.8017218945658503,0.0
S1,7,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",88.46,83.44321566918705,137.30662710648397,96.77472472699941,105.09899692699204,0.0,677236,0.0958,1,No matching event found,91.2195,0.031174663836317115,buyer_S1_7,seller_S1_7,0.6443704385464967,-1.3347052075025436
S1,8,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",96.28,53.87942354200569,129.96291780168403,64.42916816379908,100.64015982404888,0.0,677252,0.0956,1,No matching event found,95.0552,0.012710920109382405,buyer_S1_8,seller_S1_8,0.9588080258582962,0.0
S1,9,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",95.23,82.22968659724977,122.65252944229692,117.50139240828332,70.64898806100634,0.0,681562,0.1039,1,No matching event found,97.0308,0.018896123730738346,buyer_S1_9,seller_S1_9,0.8661571616693888,0.0
