场景ID,定价模式,平均成功率,测试次数,平均价格偏离率,平均剩余分配公平度,平均期望收敛效率,平均Gas消耗,平均匹配时间
L1,BASELINE,0.9833333333333333,60,0.051576179253804234,0.860028414259592,-1.6055050165375222,699390.1833333333,0.098395
L1,NASH,1.0,30,0.07223405968929368,0.9999363068940006,-1.1635080386014092,688632.6666666666,0.08504333333333333
L1,STATIC,1.0,30,7.523709120842236e-07,0.7322646541887766,-3.0457149088629922,687888.6666666666,0.08718666666666668
L2,BASELINE,1.0,60,0.0469721076355467,0.8452826159801603,-0.6867481770935723,700655.6,0.09611666666666667
L2,NASH,1.0,30,0.09030950393888496,0.9999965381017405,-1.7048201164856336,688633.8666666667,0.08615666666666666
L2,STATIC,1.0,30,9.04745573978227e-07,0.7100506703285525,-1.4659248509290295,687885.0666666667,0.08353666666666666
M1,BASELINE,0.9833333333333333,60,0.07157290982768257,0.8128352427792962,-8.032329337425178,699899.7833333333,0.09896666666666666
M1,NASH,1.0,30,0.11205722641007386,0.9999889966473396,-0.3156622872946434,688634.5333333333,0.08670333333333334
M1,STATIC,1.0,30,1.241507424449196e-06,0.6750988164966412,-8.95986983830657,687891.7333333333,0.08188666666666666
M2,BASELINE,0.9666666666666667,60,0.06721020045289804,0.8333270342283786,-1.5036757719450502,698530.9333333333,0.09864833333333332
M2,NASH,1.0,30,0.1081564767010838,0.999992915878916,-11.991553036732775,688635.0666666667,0.09061333333333334
M2,STATIC,0.8666666666666667,30,1.2850312152126788e-06,0.5323018250197976,-165.79502117144767,683937.2,0.08643666666666668
S1,BASELINE,0.9833333333333333,60,0.06838542419456381,0.8030940759708886,-0.3449651557210635,679312.8833333333,0.097565
S1,NASH,1.0,30,0.11673472408100173,0.9999936801114845,-13.471402387790018,668718.9333333333,0.09957333333333333
S1,STATIC,0.9666666666666667,30,5.543839989618821e-07,0.7473896331242875,-14.78067790792428,666886.9333333333,0.09529
S2,BASELINE,0.9833333333333333,60,0.08204439614661609,0.8188138308036358,-0.6118599547742366,679466.1333333333,0.09633
S2,NASH,1.0,30,0.12665317304289708,0.9999983210617652,-1.216669655676068,668718.8,0.08767666666666667
S2,STATIC,0.9666666666666667,30,3.1835575553501725e-07,0.7116832444828285,-3.35029914769552,666885.4666666667,0.08547333333333333
